"gene_id","Water","Drought","MeanDecreaseAccuracy","MeanDecreaseGini"
"Os10g0556100",0,0,0,0.00533333333333333
"Os11g0109950",0,0,0,0.00533333333333333
"Os11g0118300",0,0,0,0.00533333333333333
"Os11g0126900",0,0,0,0.00533333333333333
"Os11g0137300",0,0,0,0.00533333333333333
"Os11g0140300",0,0,0,0.00533333333333333
"Os11g0288350",0,0,0,0.00533333333333333
"Os11g0289700",0,0,0,0.00533333333333333
"Os11g0490251",0,0,0,0.00533333333333333
"Os11g0514500",0,0,0,0.00533333333333333
"Os11g0591000",0,0,0,0.00533333333333333
"Os11g0598900",0,0,0,0.00533333333333333
"Os12g0131200",0,0,0,0.00533333333333333
"Os12g0165900",0,0,0,0.00533333333333333
"Os12g0480250",0,0,0,0.00533333333333333
"Os12g0528000",0,0,0,0.00533333333333333
"Os12g0533400",0,0,0,0.00533333333333333
"Os12g0544600",0,0,0,0.00533333333333333
"Os12g0568700",0,0,0,0.00533333333333333
"Os12g0601800",0,0,0,0.00533333333333333
"ENSRNA049473244",0,0,0,0.00333333333333333
"Os01g0200350",0,0,0,0.00333333333333333
"Os01g0255100",0,0,0,0.00333333333333333
"Os01g0382400",0,0,0,0.00333333333333333
"Os01g0388000",0,0,0,0.00333333333333333
"Os01g0661200",0,0,0,0.00333333333333333
"Os01g0695625",0,0,0,0.00333333333333333
"Os01g0823150",0,0,0,0.00333333333333333
"Os01g0860400",0,0,0,0.00333333333333333
"Os01g0889900",0,0,0,0.00333333333333333
"Os02g0129800",0,0,0,0.00333333333333333
"Os02g0215400",0,0,0,0.00333333333333333
"Os02g0278450",0,0,0,0.00333333333333333
"Os02g0621850",0,0,0,0.00333333333333333
"Os02g0823100",0,0,0,0.00333333333333333
"Os02g0823200",0,0,0,0.00333333333333333
"Os02g0832400",0,0,0,0.00333333333333333
"Os03g0165900",0,0,0,0.00333333333333333
"Os03g0218100",0,0,0,0.00333333333333333
"Os03g0310800",0,0,0,0.00333333333333333
"Os03g0401300",0,0,0,0.00333333333333333
"Os03g0421000",0,0,0,0.00333333333333333
"Os03g0438900",0,0,0,0.00333333333333333
"Os03g0648450",0,0,0,0.00333333333333333
"Os03g0660000",0,0,0,0.00333333333333333
"Os03g0678100",0,0,0,0.00333333333333333
"Os04g0192350",0,0,0,0.00333333333333333
"Os04g0581050",0,0,0,0.00333333333333333
"Os04g0611300",0,0,0,0.00333333333333333
"Os04g0641101",0,0,0,0.00333333333333333
"Os04g0684000",0,0,0,0.00333333333333333
"Os05g0163250",0,0,0,0.00333333333333333
"Os05g0339300",0,0,0,0.00333333333333333
"Os05g0406700",0,0,0,0.00333333333333333
"Os05g0408200",0,0,0,0.00333333333333333
"Os05g0475475",0,0,0,0.00333333333333333
"Os05g0501200",0,0,0,0.00333333333333333
"Os06g0105350",0,0,0,0.00333333333333333
"Os06g0109300",0,0,0,0.00333333333333333
"Os06g0118000",0,0,0,0.00333333333333333
"Os06g0147000",0,0,0,0.00333333333333333
"Os06g0274500",0,0,0,0.00333333333333333
"Os06g0536200",0,0,0,0.00333333333333333
"Os07g0136800",0,0,0,0.00333333333333333
"Os08g0286500",0,0,0,0.00333333333333333
"Os08g0351200",0,0,0,0.00333333333333333
"Os08g0508800",0,0,0,0.00333333333333333
"Os09g0339000",0,0,0,0.00333333333333333
"Os09g0345300",0,0,0,0.00333333333333333
"Os09g0407950",0,0,0,0.00333333333333333
"Os09g0422500",0,0,0,0.00333333333333333
"Os09g0486000",0,0,0,0.00333333333333333
"Os10g0130800",0,0,0,0.00333333333333333
"Os10g0162100",0,0,0,0.00333333333333333
"Os10g0525101",0,0,0,0.00333333333333333
"Os10g0560500",0,0,0,0.00333333333333333
"Os11g0118350",0,0,0,0.00333333333333333
"Os11g0184900",0,0,0,0.00333333333333333
"Os11g0211600",0,0,0,0.00333333333333333
"Os11g0659200",0,0,0,0.00333333333333333
"Os12g0502300",0,0,0,0.00333333333333333
"Os12g0516000",0,0,0,0.00333333333333333
"ENSRNA049468467",0,0,0,0
"ENSRNA049471381",0,0,0,0
"ENSRNA049471555",0,0,0,0
"EPlORYSAT000373852",0,0,0,0
"gene-ndhA",0,0,0,0
"gene-psbB",0,0,0,0
"Os01g0101150",0,0,0,0
"Os01g0102400",0,0,0,0
"Os01g0104200",0,0,0,0
"Os01g0105700",0,0,0,0
"Os01g0105900",0,0,0,0
"Os01g0106400",0,0,0,0
"Os01g0108400",0,0,0,0
"Os01g0108500",0,0,0,0
"Os01g0109432",0,0,0,0
"Os01g0110100",0,0,0,0
"Os01g0110800",0,0,0,0
"Os01g0113300",0,0,0,0
"Os01g0115200",0,0,0,0
"Os01g0115300",0,0,0,0
"Os01g0115533",0,0,0,0
"Os01g0115566",0,0,0,0
"Os01g0115700",0,0,0,0
"Os01g0115725",0,0,0,0
"Os01g0117200",0,0,0,0
"Os01g0117233",0,0,0,0
"Os01g0117266",0,0,0,0
"Os01g0117400",0,0,0,0
"Os01g0117650",0,0,0,0
"Os01g0117900",0,0,0,0
"Os01g0118066",0,0,0,0
"Os01g0119100",0,0,0,0
"Os01g0124200",0,0,0,0
"Os01g0124401",0,0,0,0
"Os01g0124650",0,0,0,0
"Os01g0124700",0,0,0,0
"Os01g0125550",0,0,0,0
"Os01g0126200",0,0,0,0
"Os01g0127600",0,0,0,0
"Os01g0128250",0,0,0,0
"Os01g0132000",0,0,0,0
"Os01g0134900",0,0,0,0
"Os01g0136100",0,0,0,0
"Os01g0136450",0,0,0,0
"Os01g0138400",0,0,0,0
"Os01g0139900",0,0,0,0
"Os01g0140400",0,0,0,0
"Os01g0144900",0,0,0,0
"Os01g0147300",0,0,0,0
"Os01g0148000",0,0,0,0
"Os01g0151500",0,0,0,0
"Os01g0151750",0,0,0,0
"Os01g0158400",0,0,0,0
"Os01g0159800",0,0,0,0
"Os01g0161000",0,0,0,0
"Os01g0164800",0,0,0,0
"Os01g0170500",0,0,0,0
"Os01g0171100",0,0,0,0
"Os01g0175100",0,0,0,0
"Os01g0175500",0,0,0,0
"Os01g0175600",0,0,0,0
"Os01g0175633",0,0,0,0
