"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","significance"
9.95195733945871,-2.27277397288099,0.770624713496775,-2.9492617263312,0.00318534092161742,0.0114480399802087,"Os01g0163000","Down"
248.880024381685,-1.04799290140831,0.154868476396828,-6.76698657978,1.31492268115561e-11,1.88026379083609e-10,"Os01g0923750","Down"
108.377871151441,-1.45452252536794,0.254927643853279,-5.70562887328559,1.1591431555162e-08,1.18688369229376e-07,"Os01g0876800","Down"
541.070312979634,-1.50928194229888,0.143686717104796,-10.5039767955594,8.2815999502618e-26,3.20399354573672e-24,"Os01g0126200","Down"
180.716656581416,-1.07554450551229,0.169105653399927,-6.36019248255811,2.01501083446615e-10,2.54859219183976e-09,"Os01g0837000","Down"
232.079984270387,-1.05680959205432,0.148791652966271,-7.10261342613002,1.22419482082034e-12,1.92984691904236e-11,"Os01g0902000","Down"
116.094259516469,-1.27898301255161,0.217550043504622,-5.87902899005597,4.12680099973889e-09,4.50096641240322e-08,"Os01g0110100","Down"
183.313760028813,-1.23286760912943,0.182514101105237,-6.75491702648532,1.42917021202345e-11,2.03311683934785e-10,"Os01g0943800","Down"
16.2044260206501,-1.84556154798365,0.569267943062326,-3.2419909999773,0.00118697770853372,0.00482589369968978,"Os01g0736450","Down"
101.644676541762,-1.10339308210379,0.237048498276693,-4.65471449988205,3.24429934187541e-06,2.31755568799138e-05,"Os01g0232450","Down"
68.4799706231874,-1.26950922191989,0.288396250412072,-4.40196160701106,1.07276543075327e-05,7.00682431942353e-05,"Os01g0976100","Down"
79.947263316647,-1.19980309479395,0.255976432365262,-4.68716234423454,2.77019217572284e-06,2.00624340388266e-05,"Os01g0176300","Down"
3349.83133715505,-1.51631448419284,0.0822683565622645,-18.4313209544331,7.36622900858838e-76,1.55465912382006e-73,"Os01g0357100","Down"
7.91997290667648,-2.67879924426632,0.920253392359394,-2.91093655998189,0.00360347174369316,0.0127546663808994,"Os01g0627900","Down"
189.159933317457,-1.51209884870636,0.173579224252538,-8.7112893563024,3.00437661698574e-18,7.36919124934724e-17,"Os01g0757900","Down"
35.7551011466733,-1.90332836829228,0.397764135876132,-4.78506782442798,1.70929602489896e-06,1.28088502597158e-05,"Os01g0672201","Down"
937.71895661338,-1.23756264205649,0.0818012335084255,-15.1288995162772,1.04427096811002e-51,1.10610588948013e-49,"Os01g0117233","Down"
319.773708321781,-1.15955165461118,0.185834059789698,-6.23971545325652,4.38367579051925e-10,5.33683749598257e-09,"Os01g0232000","Down"
25.2967152244873,-1.411421182172,0.46968618953213,-3.00503019596544,0.00265554484676926,0.00978138366911715,"Os01g0524400","Down"
41.6890811242863,-1.0700760176682,0.366352409303082,-2.92089253542463,0.00349030198223383,0.0124100113602659,"Os01g0710200","Down"
104.499869178891,-2.00183449927251,0.238559116939545,-8.39135609216652,4.80566328830292e-17,1.08035742016292e-15,"Os01g0816450","Down"
308.303981688504,-1.21413170202741,0.142282293678685,-8.53325927377356,1.42281332460206e-17,3.32550277959263e-16,"Os01g0916950","Down"
457.969398880828,-1.06469324436925,0.12613127492656,-8.44115184746343,3.14225618675163e-17,7.16662477560667e-16,"Os01g0734800","Down"
966.505217658636,-1.01182672399931,0.0875608006819497,-11.5557043348039,6.90787846185919e-31,3.40945394031134e-29,"Os01g0749400","Down"
4029.04358990391,-1.35432252680458,0.0642405199417711,-21.0820604819538,1.16212563924456e-98,3.91262800041375e-96,"Os01g0332150","Down"
428.993648925324,-1.15121359266453,0.117719256080667,-9.77931420052179,1.38143387399974e-22,4.50615125612302e-21,"Os01g0254950","Down"
144.830564349736,-1.30611481294763,0.189394317731039,-6.89627243623253,5.33847715837262e-12,7.93782715646351e-11,"Os01g0101150","Down"
517.173901612509,-1.835096671845,0.11739936207555,-15.6312320561338,4.4609346995251e-55,5.32319384967381e-53,"Os01g0148000","Down"
27.3491881705556,-1.62010468015616,0.472618567213336,-3.42793278247331,0.000608196028767767,0.00267960615198337,"Os01g0604500","Down"
16.151981994243,-1.42760880757171,0.599151926823189,-2.38271587498876,0.017185452541005,0.0484858123815006,"Os01g0138400","Down"
2.51072785245557,-4.87916338924519,1.76576818116877,-2.76319589472704,0.00572384022346168,0.0189360059396496,"Os01g0281250","Down"
3.73655139699843,-5.45436298238102,1.56994459460826,-3.47423915539007,0.000512304197956727,0.00230121903151433,"Os01g0750400","Down"
611.116888775971,-1.03570505589454,0.104139314961691,-9.94537995833307,2.64163991904287e-23,8.9578199700781e-22,"Os01g0266800","Down"
95.1087846408772,-3.57098447794702,0.294354459063119,-12.1315793527058,7.18501926141001e-34,4.13848329392946e-32,"Os01g0175600","Down"
333.317586901554,-1.44744376923826,0.136618815013103,-10.5947615568136,3.15143088156017e-26,1.24825793783478e-24,"Os01g0854000","Down"
208.135974076126,-1.00697025073406,0.186293851836762,-5.40527902990813,6.47075795005246e-08,5.9764698101056e-07,"Os01g0228400","Down"
